"PDF","LONG_SPAT","SPECIES","TREAT_BASELINE","CONTROL_BASELINE","TREAT_POST","CONTROL_POST","UNIT","SEASON","SAMPLING","INTERVENTION","COUNTRY","MONTH_START","MONTH_END","TREAT_BASELINE_NSAMP","CONTROL_BASELINE_NSAMP","TREAT_POST_NSAMP","CONTROL_POST_NSAMP"
"1502","spatial","gambiae complex",NA,NA,0.15,9.32,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1502","spatial","gambiae complex",NA,NA,0.05,2.95,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1502","spatial","gambiae complex",NA,NA,0.08,51.31,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1502","spatial","gambiae complex",NA,NA,0.13,5.08,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1502","spatial","funestus",NA,NA,0.9,6.98,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1502","spatial","funestus",NA,NA,0.53,35.57,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1502","spatial","funestus",NA,NA,0.94,91.31,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1502","spatial","funestus",NA,NA,0.57,9.46,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1502","spatial","funestus",NA,NA,0,19.97,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1502","spatial","funestus",NA,NA,1.26,38.96,"mean/house","dry","HRI","ITN","Kenya","7","10",NA,NA,30,30
"1504","spatial","gambiae complex",NA,NA,470,737,"n","rainy","MBI & MBO","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,150,31,"n","rainy","MBI & MBO","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,210,84,"n","rainy","MBI & MBO","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,77,38,"n","rainy","MBI & MBO","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,44,57,"n","rainy","MBI & MBO","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,44,140,"n","rainy","MBI & MBO","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,112,155,"n","rainy","MBI & MBO","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,28,29,"n","rainy","MBI & MBO","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,13,15,"n","rainy","MBI & MBO","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,5,7,"n","rainy","MBI & MBO","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,27.2,114.96,"mean/room","rainy","HRI","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,16.8,26.49,"mean/room","rainy","HRI","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,5,17.96,"mean/room","rainy","HRI","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,2.63,8.2,"mean/room","rainy","HRI","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,4.26,6.09,"mean/room","rainy","HRI","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,1.98,9.5,"mean/room","rainy","HRI","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,8.45,18.26,"mean/room","rainy","HRI","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,2.1,7.7,"mean/room","rainy","HRI","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,1.99,1.05,"mean/room","rainy","HRI","ITN","The Gambia","7","7",NA,NA,NA,NA
"1504","spatial","gambiae complex",NA,NA,2.57,2.46,"mean/room","rainy","HRI","ITN","The Gambia","7","7",NA,NA,NA,NA
"1573","spatial","gambiae complex",NA,NA,221,326,"n","nd","WinExit","insecticide curtains","Kenya","?","?",NA,NA,NA,NA
"1573","spatial","funestus",NA,NA,124,84,"n","nd","WinExit","insecticide curtains","Kenya","?","?",NA,NA,NA,NA
"1573","spatial","gambiae complex",NA,NA,126,1409,"n","nd","HRI","insecticide curtains","Kenya","?","?",NA,NA,NA,NA
"1573","spatial","funestus",NA,NA,23,367,"n","nd","HRI","insecticide curtains","Kenya","?","?",NA,NA,NA,NA
"5763","spatial","gambiae complex",NA,NA,3,11,"n","rainy",NA,"ITN","HRI, LT, RO, pit","10","5",NA,NA,NA,NA
"5763","spatial","gambiae complex",NA,NA,1,11,"n","rainy",NA,"ITN & IRS","HRI, LT, RO, pit","10","5",NA,NA,NA,NA
"5816","spatial","gambiae ss (M)",NA,NA,724,1117,"n","rainy","MB","IRS","Benin","4","7",NA,NA,NA,NA
"5822","spatial","gambiae complex",388,88,0,132,"n","rainy","MB/WinExit/HRI","IRS","Benin","5","7",NA,NA,NA,NA
"5822","spatial","gambiae complex",90,404,216,384,"n","rainy","MB/WinExit/HRI","ITN","Benin","5","7",NA,NA,NA,NA
"5822","spatial","gambiae complex",250,45,0,68,"n","rainy","HRI","IRS","Benin","5","7",NA,NA,NA,NA
"5822","spatial","gambiae complex",55,216,74,200,"n","rainy","HRI","ITN","Benin","5","7",NA,NA,NA,NA
"5924","spatial","gambiae complex",NA,NA,206,609,"n","rainy","HRI","ITN","Gambia","8","11",NA,NA,NA,NA
"5924","spatial","gambiae complex",NA,NA,2794,4498,"n","rainy","winexit","ITN","Gambia","8","11",NA,NA,NA,NA
"6046","spatial","gambiae complex",NA,NA,65,37,"mean density/light trap/night","dry","ILT","ITN","Tanzania","6","6",NA,NA,NA,NA
"6046","spatial","gambiae complex",NA,NA,22,7,"mean density/light trap/night","dry","ILT","ITN","Tanzania","7","7",NA,NA,NA,NA
"6046","spatial","gambiae complex",NA,NA,19,3,"mean density/light trap/night","dry","ILT","ITN","Tanzania","8","8",NA,NA,NA,NA
"6046","spatial","gambiae complex",NA,NA,18,4,"mean density/light trap/night","dry","ILT","ITN","Tanzania","9","9",NA,NA,NA,NA
